event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/auth/v1/health | @supabase-infra/mgmt-api/0fcf495,1033088c-4f4b-45c2-a7ff-9b708bf05c35,vypjjwmdzuakswyrzoxd,GET,/auth/v1/health,null,200,1776109909454000
HEAD | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest-admin/v1/ready | @supabase-infra/mgmt-api/0fcf495,63dfa758-e6f5-45c6-942b-521145540fe6,vypjjwmdzuakswyrzoxd,HEAD,/rest-admin/v1/ready,null,200,1776109909440000
GET | 406 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest/v1/user_preferences?select=theme%2Ccolor_mode%2Cselected_emotion%2Ccompact_ui%2Creduced_motion%2Clight_ui%2Csimplified_content%2Cauto_master_missions%2Cusual_days_off%2Cday_off_mode%2Cemail_reminders_enabled%2Cpush_reminders_enabled%2Cpush_morning_enabled%2Cpush_evening_enabled%2Cpush_weekly_learning_enabled%2Cpush_personality_mode%2Cdisplay_callsign%2Chq_headline%2Cgreeting_locale%2Cui_sound_enabled%2Cui_speech_enabled%2Cupdated_at&user_id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b | node,c96c63b1-7c04-438e-8f29-1bd3542db73c,vypjjwmdzuakswyrzoxd,GET,/rest/v1/user_preferences,?select=theme%2Ccolor_mode%2Cselected_emotion%2Ccompact_ui%2Creduced_motion%2Clight_ui%2Csimplified_content%2Cauto_master_missions%2Cusual_days_off%2Cday_off_mode%2Cemail_reminders_enabled%2Cpush_reminders_enabled%2Cpush_morning_enabled%2Cpush_evening_enabled%2Cpush_weekly_learning_enabled%2Cpush_personality_mode%2Cdisplay_callsign%2Chq_headline%2Cgreeting_locale%2Cui_sound_enabled%2Cui_speech_enabled%2Cupdated_at&user_id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b,406,1776109722652000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/auth/v1/user | node,ad7ce978-aa94-42a2-8355-3be98de52174,vypjjwmdzuakswyrzoxd,GET,/auth/v1/user,null,200,1776109722465000
GET | 406 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest/v1/user_preferences?select=updated_at&user_id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b | node,b33fdcf7-e5fb-4b46-9127-5685d4afba9a,vypjjwmdzuakswyrzoxd,GET,/rest/v1/user_preferences,?select=updated_at&user_id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b,406,1776109722443000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest/v1/users?select=updated_at&id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b | node,6cbe2084-85cd-4c10-a67c-ea18ce27f732,vypjjwmdzuakswyrzoxd,GET,/rest/v1/users,?select=updated_at&id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b,200,1776109722441000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest/v1/users?select=last_payday_date%2Cpayday_day_of_month%2Cupdated_at&id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b | node,9fe83812-f10e-435a-b178-58ce85f2d626,vypjjwmdzuakswyrzoxd,GET,/rest/v1/users,?select=last_payday_date%2Cpayday_day_of_month%2Cupdated_at&id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b,200,1776109722426000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/auth/v1/user | node,795888fe-8aeb-4010-a68e-0ef000044821,vypjjwmdzuakswyrzoxd,GET,/auth/v1/user,null,200,1776109722071000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/auth/v1/user | node,133543ce-22d5-4edf-94fe-e9911dc43905,vypjjwmdzuakswyrzoxd,GET,/auth/v1/user,null,200,1776109722061000
POST | 201 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest/v1/user_actions_audit | node,5c61eb2c-31ec-4992-8f2c-f9f79bea39c1,vypjjwmdzuakswyrzoxd,POST,/rest/v1/user_actions_audit,null,201,1776109721769000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/auth/v1/user | node,c4b822aa-66c9-4ab2-b11f-dd31f903683b,vypjjwmdzuakswyrzoxd,GET,/auth/v1/user,null,200,1776109721275000
GET | 406 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest/v1/user_preferences?select=theme%2Ccolor_mode%2Cselected_emotion%2Ccompact_ui%2Creduced_motion%2Clight_ui%2Csimplified_content%2Cauto_master_missions%2Cusual_days_off%2Cday_off_mode%2Cemail_reminders_enabled%2Cpush_reminders_enabled%2Cpush_morning_enabled%2Cpush_evening_enabled%2Cpush_weekly_learning_enabled%2Cpush_personality_mode%2Cdisplay_callsign%2Chq_headline%2Cgreeting_locale%2Cui_sound_enabled%2Cui_speech_enabled%2Cupdated_at&user_id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b | node,d94c8355-2d19-4830-9d4b-8fc8328e255e,vypjjwmdzuakswyrzoxd,GET,/rest/v1/user_preferences,?select=theme%2Ccolor_mode%2Cselected_emotion%2Ccompact_ui%2Creduced_motion%2Clight_ui%2Csimplified_content%2Cauto_master_missions%2Cusual_days_off%2Cday_off_mode%2Cemail_reminders_enabled%2Cpush_reminders_enabled%2Cpush_morning_enabled%2Cpush_evening_enabled%2Cpush_weekly_learning_enabled%2Cpush_personality_mode%2Cdisplay_callsign%2Chq_headline%2Cgreeting_locale%2Cui_sound_enabled%2Cui_speech_enabled%2Cupdated_at&user_id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b,406,1776109627984000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/auth/v1/user | node,1871f077-5426-4308-8e0d-3ad640ba1370,vypjjwmdzuakswyrzoxd,GET,/auth/v1/user,null,200,1776109627842000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest/v1/users?select=last_payday_date%2Cpayday_day_of_month%2Cupdated_at&id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b | node,b1fba1f7-1a0d-4dc2-b760-973bde845694,vypjjwmdzuakswyrzoxd,GET,/rest/v1/users,?select=last_payday_date%2Cpayday_day_of_month%2Cupdated_at&id=eq.f423aaf5-5b8a-493a-af0d-03dc7a550c5b,200,1776109627827000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/auth/v1/user | node,fee84395-da3d-4795-8249-eb8dc00af64f,vypjjwmdzuakswyrzoxd,GET,/auth/v1/user,null,200,1776109627492000
POST | 201 | https://vypjjwmdzuakswyrzoxd.supabase.co/rest/v1/user_actions_audit | node,31904b0f-40f2-44f0-a75e-af85783718a1,vypjjwmdzuakswyrzoxd,POST,/rest/v1/user_actions_audit,null,201,1776109573057000
GET | 200 | https://vypjjwmdzuakswyrzoxd.supabase.co/auth/v1/user | node,d2dba3c7-4ad3-4b34-9b92-90e1efb3999f,vypjjwmdzuakswyrzoxd,GET,/auth/v1/user,null,200,1776109572472000
