schema_name,function_name,arguments,return_type
auth,email,,text
auth,jwt,,jsonb
auth,role,,text
auth,uid,,uuid
extensions,armor,bytea,text
extensions,armor,"bytea, text[], text[]",text
extensions,crypt,"text, text",text
extensions,dearmor,text,bytea
extensions,decrypt,"bytea, bytea, text",bytea
extensions,decrypt_iv,"bytea, bytea, bytea, text",bytea
extensions,digest,"bytea, text",bytea
extensions,digest,"text, text",bytea
extensions,encrypt,"bytea, bytea, text",bytea
extensions,encrypt_iv,"bytea, bytea, bytea, text",bytea
extensions,gen_random_bytes,integer,bytea
extensions,gen_random_uuid,,uuid
extensions,gen_salt,"text, integer",text
extensions,gen_salt,text,text
extensions,grant_pg_cron_access,,event_trigger
extensions,grant_pg_graphql_access,,event_trigger
extensions,grant_pg_net_access,,event_trigger
extensions,hmac,"bytea, bytea, text",bytea
extensions,hmac,"text, text, text",bytea
extensions,pg_stat_statements,"showtext boolean, OUT userid oid, OUT dbid oid, OUT toplevel boolean, OUT queryid bigint, OUT query text, OUT plans bigint, OUT total_plan_time double precision, OUT min_plan_time double precision, OUT max_plan_time double precision, OUT mean_plan_time double precision, OUT stddev_plan_time double precision, OUT calls bigint, OUT total_exec_time double precision, OUT min_exec_time double precision, OUT max_exec_time double precision, OUT mean_exec_time double precision, OUT stddev_exec_time double precision, OUT rows bigint, OUT shared_blks_hit bigint, OUT shared_blks_read bigint, OUT shared_blks_dirtied bigint, OUT shared_blks_written bigint, OUT local_blks_hit bigint, OUT local_blks_read bigint, OUT local_blks_dirtied bigint, OUT local_blks_written bigint, OUT temp_blks_read bigint, OUT temp_blks_written bigint, OUT shared_blk_read_time double precision, OUT shared_blk_write_time double precision, OUT local_blk_read_time double precision, OUT local_blk_write_time double precision, OUT temp_blk_read_time double precision, OUT temp_blk_write_time double precision, OUT wal_records bigint, OUT wal_fpi bigint, OUT wal_bytes numeric, OUT jit_functions bigint, OUT jit_generation_time double precision, OUT jit_inlining_count bigint, OUT jit_inlining_time double precision, OUT jit_optimization_count bigint, OUT jit_optimization_time double precision, OUT jit_emission_count bigint, OUT jit_emission_time double precision, OUT jit_deform_count bigint, OUT jit_deform_time double precision, OUT stats_since timestamp with time zone, OUT minmax_stats_since timestamp with time zone",SETOF record
extensions,pg_stat_statements_info,"OUT dealloc bigint, OUT stats_reset timestamp with time zone",record
extensions,pg_stat_statements_reset,"userid oid DEFAULT 0, dbid oid DEFAULT 0, queryid bigint DEFAULT 0, minmax_only boolean DEFAULT false",timestamp with time zone
extensions,pgp_armor_headers,"text, OUT key text, OUT value text",SETOF record
extensions,pgp_key_id,bytea,text
extensions,pgp_pub_decrypt,"bytea, bytea",text
extensions,pgp_pub_decrypt,"bytea, bytea, text",text
extensions,pgp_pub_decrypt,"bytea, bytea, text, text",text
extensions,pgp_pub_decrypt_bytea,"bytea, bytea, text, text",bytea
extensions,pgp_pub_decrypt_bytea,"bytea, bytea",bytea
extensions,pgp_pub_decrypt_bytea,"bytea, bytea, text",bytea
extensions,pgp_pub_encrypt,"text, bytea",bytea
extensions,pgp_pub_encrypt,"text, bytea, text",bytea
extensions,pgp_pub_encrypt_bytea,"bytea, bytea, text",bytea
extensions,pgp_pub_encrypt_bytea,"bytea, bytea",bytea
extensions,pgp_sym_decrypt,"bytea, text, text",text
extensions,pgp_sym_decrypt,"bytea, text",text
extensions,pgp_sym_decrypt_bytea,"bytea, text",bytea
extensions,pgp_sym_decrypt_bytea,"bytea, text, text",bytea
extensions,pgp_sym_encrypt,"text, text, text",bytea
extensions,pgp_sym_encrypt,"text, text",bytea
extensions,pgp_sym_encrypt_bytea,"bytea, text",bytea
extensions,pgp_sym_encrypt_bytea,"bytea, text, text",bytea
extensions,pgrst_ddl_watch,,event_trigger
extensions,pgrst_drop_watch,,event_trigger
extensions,set_graphql_placeholder,,event_trigger
extensions,uuid_generate_v1,,uuid
extensions,uuid_generate_v1mc,,uuid
extensions,uuid_generate_v3,"namespace uuid, name text",uuid
extensions,uuid_generate_v4,,uuid
extensions,uuid_generate_v5,"namespace uuid, name text",uuid
extensions,uuid_nil,,uuid
extensions,uuid_ns_dns,,uuid
extensions,uuid_ns_oid,,uuid
